Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
6l90e-tkr-transmission,6L90E TKR Transmission,"<p>TK Pefromance transmissions have been proven thousands of time both at the drag strip and daily drivers. The quality and craftsmanship we put into every built transmission we upgrade, is regarded as ""the best in the business"" in both performance and value for your money.</p>",TK Performance,Transmission,"2009-15 CTS-V Transmission, 5th Gen Camaro Transmission, 6L90E TKR Transmission, 6th Gen Camaro Transmission, Transmission",TRUE,Title,Default Title,,,,,,11340,,1,deny,manual,2100,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0170/4080/1856/products/6L90E_TKR_Transmission.jpg?v=1550718583,1,TK Performance,FALSE,,"TK Pefromance transmissions have been proven thousands of time both at the drag strip and daily drivers. The quality and craftsmanship we put into every built transmission we upgrade, is regarded as ""the best in the business"" in both performance and value for your money.",Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Transmission & Drivetrain Parts,Unisex,Adult,,"6L90E TKR Transmission, TK Performance Transmission","6L90E TKR Transmission, TK Performance Transmission",,FALSE,,,,,,,lb,,
6l80e-tkr-transmission,6L80E TKR Transmission,"<p>TK Pefromance transmissions have been proven thousands of time both at the drag strip and daily drivers. The quality and craftsmanship we put into every built transmission we upgrade, is regarded as ""the best in the business"" in both performance and value for your money.</p>",TK Performance,Transmission,"5th Gen Camaro Transmission, 6L80E TKR Transmission, C6 Corvette Transmission, Chevy SS Transmission, Pontiac G8 Transmission, Transmission",TRUE,Title,Default Title,,,,,,11340,,1,deny,manual,2100,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0170/4080/1856/products/6L80E_TKR_Transmission.jpg?v=1550718582,1,TK Performance,FALSE,,"TK Pefromance transmissions have been proven thousands of time both at the drag strip and daily drivers. The quality and craftsmanship we put into every built transmission we upgrade, is regarded as ""the best in the business"" in both performance and value for your money.",Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Transmission & Drivetrain Parts,Unisex,Adult,,"6L80E TKR Transmission, TK Performance Transmission","6L80E TKR Transmission, TK Performance Transmission",,FALSE,,,,,,,lb,,
8l90-tkr,8L90 TKP,"<p>TK Pefromance transmissions have been proven thousands of time both at the drag strip and daily drivers. The quality and craftsmanship we put into every built transmission we upgrade, is regarded as ""the best in the business"" in both performance and value for your money.</p>",TK Performance,Transmission,"2016+CTS-V Transmission, C7 Corvette Transmission, TKR 8L90, Transmission",TRUE,Title,Default Title,,,,,,11340,,1,deny,manual,2700,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0170/4080/1856/products/8L90_Transmission_Roho_Spec_Build_b6f23bc1-3d61-4a46-b4a5-4959913e4ff2.jpg?v=1550718581,1,TK Performance,FALSE,,"TK Pefromance transmissions have been proven thousands of time both at the drag strip and daily drivers. The quality and craftsmanship we put into every built transmission we upgrade, is regarded as ""the best in the business"" in both performance and value for your money.",Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Transmission & Drivetrain Parts,Unisex,Adult,,"8L90 TKP, Transmission, TK Performance Transmission","8L90 TKP, Transmission, TK Performance Transmission",,FALSE,,,,,,,lb,,
6l90e-billet-reinforced-rear-planetary,6L90E: Billet Reinforced Rear Planetary,<p>6L90E Rear Planetary. TCS has redesigned the O.E. rear planetary assembly with a 4140 HTSR billet steel drive plate to eliminate spline/housing failure. The new drive plate is milled and contoured to the planetary housing to eliminate any possible separation when under load.</p>,TK Performance,Transmission,"2009-15 CTS-V Transmission, 5th Gen Camaro Transmission, 6L90: Transmission, 6th Gen Camaro Transmission, Transmission",TRUE,Title,Default Title,,,,,,11340,,1,deny,manual,995,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0170/4080/1856/products/6L90_-4140_HTSR_Billet_Reinforced_Out_Carrier_Rear_Planetary_Assembly.png?v=1550718580,1,TK Performance,FALSE,6L90: Billet Reinforced Rear Planetary,6L90E Rear Planetary. TCS has redesigned the O.E. rear planetary assembly with a 4140 HTSR billet steel drive plate to eliminate spline/housing failure. The new drive plate is milled and contoured to the planetary housing to eliminate any possible separation when under load.,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Transmission & Drivetrain Parts,Unisex,Adult,,"6L90: Billet Reinforced Rear Planetary, Transmission, TK Performance","6L90: Billet Reinforced Rear Planetary, Transmission, TK Performance",,FALSE,,,,,,,lb,,
6l80e-billet-reinforced-rear-planetary,6L80: Billet Reinforced Rear Planetary,<p>6L80E Rear Planetary. TCS has redesigned the O.E. rear planetary assembly with a 4140 HTSR billet steel drive plate to eliminate spline/housing failure. The new drive plate is milled and contoured to the planetary housing to eliminate any possible separation when under load.</p>,TK Performance,Transmission,"5th Gen Camaro Transmission, 6L80: Transmission, C6 Corvette Transmission, Chevy SS Transmission, Pontiac G8 Transmission, Transmission",TRUE,Title,Default Title,,,,,,11340,,1,deny,manual,995,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0170/4080/1856/products/6L80_-4140_HTSR_Billet_Reinforced_Out_Carrier_Rear_Planetary_Assembly.png?v=1550718579,1,TK Performance,FALSE,,6L80E 6L90E Rear Planetary. TCS has redesigned the O.E. rear planetary assembly with a 4140 HTSR billet steel drive plate to eliminate spline/housing failure. The new drive plate is milled and contoured to the planetary housing to eliminate any possible separation when under load.,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Transmission & Drivetrain Parts,Unisex,Adult,,"6L80: Billet Reinforced Rear Planetary, Transmission, TK Performance","6L80: Billet Reinforced Rear Planetary, Transmission, TK Performance",,FALSE,,,,,,,lb,,
custom-options-for-8l90-tkr-2,Custom options for 8L90 TKR,,TK Performance & Auto,mw_product_option,pfs:hidden,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,2600,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
custom-options-for-8l90-tkr-1,Custom options for 8L90 TKR,,TK Performance & Auto,mw_product_option,pfs:hidden,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,2600,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
custom-options-for-8l90-tkr,Custom options for 8L90 TKR,,TK Performance & Auto,mw_product_option,pfs:hidden,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,2600,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
custom-options-for-dominator-5w-20-racing-oil-3,Custom options for DOMINATOR 5W-20 Racing Oil,,TK Performance & Auto,mw_product_option,pfs:hidden,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,155.75,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
custom-options-for-dominator-5w-20-racing-oil-2,Custom options for DOMINATOR 5W-20 Racing Oil,,TK Performance & Auto,mw_product_option,pfs:hidden,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,155.75,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
custom-options-for-dominator-5w-20-racing-oil-1,Custom options for DOMINATOR 5W-20 Racing Oil,,TK Performance & Auto,mw_product_option,pfs:hidden,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,155.75,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
custom-options-for-dominator-5w-20-racing-oil,Custom options for DOMINATOR 5W-20 Racing Oil,,TK Performance & Auto,mw_product_option,pfs:hidden,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,155.75,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
custom-options-for-methanol-injection-c5-corvette-1,Custom options for Methanol Injection C5 Corvette,,TK Performance & Auto,mw_product_option,pfs:hidden,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,75,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
custom-options-for-dominator-10w-30-racing-oil,Custom options for DOMINATOR 10W-30 Racing Oil,,TK Performance & Auto,mw_product_option,pfs:hidden,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,155.75,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
custom-options-for-8l90-transmission-roho-spec-build-2,Custom options for 8L90 Transmission “Roho Spec Build”,,TK Performance & Auto,mw_product_option,pfs:hidden,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,2700,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
custom-options-for-8l90-transmission-roho-spec-build-1,Custom options for 8L90 Transmission “Roho Spec Build”,,TK Performance & Auto,mw_product_option,pfs:hidden,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,3800,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
custom-options-for-8l90-transmission-roho-spec-build,Custom options for 8L90 Transmission “Roho Spec Build”,,TK Performance & Auto,mw_product_option,pfs:hidden,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,2700,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
custom-options-for-methanol-injection-c5-corvette,Custom options for Methanol Injection C5 Corvette,,TK Performance & Auto,mw_product_option,pfs:hidden,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,75,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
6l80e-6l90e-bushing-kit-with-tail-housing-bushing,6L80E / 6l90E Bushing Kit. With tail housing bushing,<p>6L80E / 6l90E Bushing Kit. With tail housing bushing</p>,TK Performance & Auto,Transmission Parts,"6L80, 6L80E / 6l90E Bushing Kit. With tail housing bushing, 6L90, Transmission Parts",TRUE,Title,Default Title,,,,,DB104030B,0,,1,deny,manual,83,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0170/4080/1856/products/6L80E___6l90E_Bushing_Kit._With_tail_housing_bushing.jpg?v=1550524445,1,Transmission Parts,FALSE,,6L80E / 6l90E Bushing Kit. With tail housing bushing,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Transmission & Drivetrain Parts,Unisex,Adult,,6L80E / 6l90E Bushing Kit. With tail housing bushing,6L80E / 6l90E Bushing Kit. With tail housing bushing,,FALSE,,,,,,,lb,,
6l80e-6l90e-billet-intermediate-shaft-and-hub,6L80E / 6l90E Billet Intermediate Shaft and Hub,"<p>Developed as a stronger replacement for the problematic failure of the OEM shaft when high horsepower, superchargers and turbos are used.</p>",TCS,Transmission Parts,"6L80, 6L80E / 6l90E Billet Intermediate Shaft and Hub, 6L90, Transmission Parts",TRUE,Title,Default Title,,,,,6L80S,9072,,1,deny,manual,740,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0170/4080/1856/products/6L80E_-_6l90E_Billet_Intermediate_Shaft_and_Hub.jpg?v=1550628244,1,,FALSE,,"Developed as a stronger replacement for the problematic failure of the OEM shaft when high horsepower, superchargers and turbos are used.",Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Transmission & Drivetrain Parts,Unisex,Adult,,"6L80E / 6l90E Billet Intermediate Shaft and Hub, TCS","6L80E / 6l90E Billet Intermediate Shaft and Hub, TCS",,FALSE,,,,,,,lb,,
6l80e-6l90e-thirteen-vane-billet-pump-rotor,6L80E / 6L90E Thirteen Vane Billet Pump Rotor,<p>6L80E / 6L90E Thirteen Vane Billet Pump Rotor. This is made from 4140 heat treated stressed relieved billet steel. The stock pump rotor has been known to explode with very fast acceleration due to sudden centrifugal force shock.</p>,TCS,Transmission Parts,"6L80, 6L80E / 6L90E Thirteen Vane Billet Pump Rotor, 6L90, Transmission Parts",TRUE,Title,Default Title,,,,,6L80E-13,0,,1,deny,manual,175,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0170/4080/1856/products/6L80E___6L90E_Thirteen_Vane_Billet_Pump_Rotor.jpg?v=1550524443,1,Transmission Parts,FALSE,,6L80E / 6L90E Thirteen Vane Billet Pump Rotor. This is made from 4140 heat treated stressed relieved billet steel. The stock pump rotor has been known to explode with very fast acceleration due to sudden centrifugal force shock.,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Transmission & Drivetrain Parts,Unisex,Adult,,"6L80E / 6L90E Thirteen Vane Billet Pump Rotor, TCS","6L80E / 6L90E Thirteen Vane Billet Pump Rotor, TCS",,FALSE,,,,,,,lb,,
sprag-assembly-6l80e-6l90e-low-reverse-2006-up-38-element,"Sprag Assembly, 6L80E / 6L90E, Low / Reverse, 2006-Up 38 Element","<p>Sprag Assembly, 6L80E / 6L90E, Low / Reverse, 2006-Up 38 Element</p>",TK Performance & Auto,Transmission Parts,"2006-Up 38 Element, 6L80, 6L80E / 6L90E, 6L90, Low / Reverse, Sprag Assembly, Transmission Parts",TRUE,Title,Default Title,,,,,PATC-A104642A,0,,1,deny,manual,149,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0170/4080/1856/products/Sprag_Assembly_6L80E___6L90E_Low___Reverse_2006-Up_38_Element.jpg?v=1550524441,1,Transmission Parts,FALSE,,"Sprag Assembly, 6L80E / 6L90E, Low / Reverse, 2006-Up 38 Element",Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Transmission & Drivetrain Parts,Unisex,Adult,,"Sprag Assembly, 6L80E / 6L90E, Low / Reverse, 2006-Up 38 Element","Sprag Assembly, 6L80E / 6L90E, Low / Reverse, 2006-Up 38 Element",,FALSE,,,,,,,lb,,
6l80e-6l90e-new-gm-transmission-control-module,6L80E / 6L90E New GM Transmission Control Module,"<p>6L80E/6L90E New GM Transmission Control Module Programmed to your VIN upon arrival, Can be Custom tuned with our calibrations when purchased with our Custom Tuning.</p>",TK Performance & Auto,Transmission Parts,"6L80, 6L80E / 6L90E New GM Transmission Control Module, 6L90, Transmission parts",TRUE,Title,Default Title,,,,,6L80TCM,9072,,1,deny,manual,665,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0170/4080/1856/products/6L80E___6L90E_New_GM_Transmission_Control_Module.jpg?v=1550524440,1,Transmission Parts,FALSE,,"6L80E/6L90E New GM Transmission Control Module Programmed to your VIN upon arrival, Can be Custom tuned with our calibrations when purchased with our Custom Tuning.",Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Transmission & Drivetrain Parts,Unisex,Adult,,"6L80E / 6L90E New GM Transmission Control Module, Sonnax","6L80E / 6L90E New GM Transmission Control Module, Sonnax",,FALSE,,,,,,,lb,,
teflon-coated-6l80e-6l90e-pump-bushing,Teflon Coated 6L80E / 6L90E Pump Bushing,<p>Teflon Coated 6L80E Pump Bushing.</p>,TK Performance & Auto,Transmission Parts,"6L80, 6L90, Teflon Coated 6L80E / 6L90E Pump Bushing, Transmission Parts",TRUE,Title,Default Title,,,,,6L80EPB,0,,1,deny,manual,10,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0170/4080/1856/products/Teflon_Coated_6L80E_-_6L90E_Pump_Bushing.jpg?v=1550628344,1,,FALSE,,Teflon Coated 6L80E Pump Bushing.,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Transmission & Drivetrain Parts,Unisex,Adult,,"Teflon Coated 6L80E / 6L90E Pump Bushing, Sonnax",Teflon Coated 6L80E / 6L90E Pump Bushing,,FALSE,,,,,,,lb,,
6l80e-6l90e-complete-thrust-bearing-kit,6L80E / 6L90E complete thrust bearing kit,<p>6L80E / 6L90E complete thrust bearing kit. This is a must on any rebuild were contamination has been introduced into the system. This is every thrust bearing needed to service this transmission.</p>,Sonnax,Transmission Parts,"6L80, 6L80E / 6L90E complete thrust bearing kit, 6L90, Transmission parts",TRUE,Title,Default Title,,,,,6L80TBK,0,,1,deny,manual,39,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0170/4080/1856/products/6L80E___6L90E_complete_thrust_bearing_kit.jpg?v=1550524437,1,Transmission Parts,FALSE,,6L80E / 6L90E complete thrust bearing kit. This is a must on any rebuild were contamination has been introduced into the system. This is every thrust bearing needed to service this transmission.,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Transmission & Drivetrain Parts,Unisex,Adult,,"6L80E / 6L90E complete thrust bearing kit, Sonnax","6L80E / 6L90E complete thrust bearing kit, Sonnax",,FALSE,,,,,,,lb,,
6l80e-6l90e-clutch-select-valve-spring-kit,6L80E / 6L90E Clutch Select Valve Spring Kit,"<p>Mid 2010-earlier GM 6L80E–6L90E applications have a tendency to set a P0751 (shift solenoid 1 malfunction) code. One of the causes of this is the OE spring force at the clutch select valves inhibiting movement of the valves, affecting proper control of clutch apply fluid. Early-model production has updates made to reduce the spring force, however the updated springs are not available separately from OE, only as part of a new and expensive lower valve body. Sonnax clutch select valve spring kit updates these springs to the correct lower load to prevent the P0751 code.</p>",Sonnax,Transmission Parts,"6L80, 6L80E / 6L90E Clutch Select Valve Spring Kit, 6L90, Transmission Parts",TRUE,Title,Default Title,,,,,104740-02K,0,,1,deny,manual,14,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0170/4080/1856/products/6L80E___6L90E_Clutch_Select_Valve_Spring_Kit.jpg?v=1550524436,1,Transmission Parts,FALSE,,"Mid 2010-earlier GM 6L80E–6L90E applications have a tendency to set a P0751 (shift solenoid 1 malfunction) code. One of the causes of this is the OE spring force at the clutch select valves inhibiting movement of the valves, affecting proper control of clutch apply fluid. Early-model production has updates made to reduce the spring force, however the updated springs are not available separately from OE, only as part of a new and expensive lower valve body. Sonnax clutch select valve spring kit updates these springs to the correct lower load to prevent the P0751 code.",Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Transmission & Drivetrain Parts,Unisex,Adult,,"6L80E / 6L90E Clutch Select Valve Spring Kit, Sonnax","6L80E / 6L90E Clutch Select Valve Spring Kit, Sonnax",,FALSE,,,,,,,lb,,
6l80e-6l90e-oversized-afl-valve,6L80E / 6L90E Oversized AFL Valve,"<p>In GM 6L45, 6L50, 6L80, 6L90 units the actuator feed limit (AFL) bore wear results in low pressure at the shift and control solenoid valve assembly. The OE AFL Valve has a large reaction area and is highly affected by side loading, which wears the valve body bore. As the bore wear increases, oil pressure is reduced to the shift solenoids, which causes solenoid and ratio codes. The same AFL loss results in lower line pressure. The Sonnax oversized AFL valve is a solenoid feed regulator valve that feeds the control solenoid valve assembly. The valve will restore hydraulic control to the shift solenoids.</p>",Sonnax,Transmission Parts,"6L80, 6L80E / 6L90E Oversized AFL Valve, 6L90, Transmission Parts",TRUE,Title,Default Title,,,,,104740-12,0,,1,deny,manual,72,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0170/4080/1856/products/6L80E___6L90E_Oversized_AFL_Valve.jpg?v=1550524435,1,Transmission Parts,FALSE,,"In GM 6L45, 6L50, 6L80, 6L90 units the actuator feed limit (AFL) bore wear results in low pressure at the shift and control solenoid valve assembly. The OE AFL Valve has a large reaction area and is highly affected by side loading, which wears the valve body bore. As the bore wear increases, oil pressure is reduced to the shift solenoids, which causes solenoid and ratio codes. The same AFL loss results in lower line pressure. The Sonnax oversized AFL valve is a solenoid feed regulator valve that feeds the control solenoid valve assembly. The valve will restore hydraulic control to the shift solenoids.",Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Transmission & Drivetrain Parts,Unisex,Adult,,"6L80E / 6L90E Oversized AFL Valve, Sonnax","6L80E / 6L90E Oversized AFL Valve, Sonnax",,FALSE,,,,,,,lb,,
